"screen_name","created_at","text","hashtags","followers_count","favourites_count","verified"
"OptionsProVol",2021-09-27 18:03:29,"$MRNA company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/I8hjTlEqg3 https://t.co/ZfteeGFEPu","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",2085,0,FALSE
"TickwatcherMF",2021-09-28 17:13:56,"$KR company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/p5eHytrizT","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 18:38:35,"#Dow E-mini #Futures #YM_F <U+0001F53B>503 Pts (1.45%) to 34,234. Check Advanced Futures Chart w/ Auto #Fibonacci Lines, Support &amp; Resistance, Futures Money Flow Chart &amp; Alert, Futures VWAP Chart #futurestrading #future #Investment #investing #stocks #StockMarket https://t.co/gc4bkqCwRI https://t.co/vDH97OEX7u","Dow Futures YM_F Fibonacci futurestrading future Investment investing stocks StockMarket",3928,0,FALSE
"TickwatcherMF",2021-09-29 15:47:44,"$SMFTF company #profile and #Technical Analysis Score Update (TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/aV3NBcD35A https://t.co/kC12USXYKN","profile Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 18:02:11,"$TME company #profile and #Technical Analysis Score Update (TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/w2kCVS8TUa","profile Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 16:44:04,"$CPB company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/tsrGFaKVky","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 19:05:16,"#Dow E-mini #Futures #YM_F <U+2B06><U+FE0F>95 Pts (0.27%) to 34,769. Check Advanced Futures Chart w/ Auto #Fibonacci Lines, Support &amp; Resistance, Futures Money Flow Chart &amp; Alert, Futures VWAP Chart #futurestrading #future #Investment #investing #stocks #StockMarket https://t.co/gc4bkqCwRI https://t.co/n8TWwLepPE","Dow Futures YM_F Fibonacci futurestrading future Investment investing stocks StockMarket",3928,0,FALSE
"TickwatcherMF",2021-09-29 15:48:24,"$INMD company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/aV3NBcD35A https://t.co/TLT7rvnDcA","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 18:39:21,"S&amp;P 500 E-mini #Futures #ES_F <U+0001F53B>74.5 Points (1.68%) to 4,354.75 #SP500 $SPX $SPY #futurestrading #future #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #Trade #market https://t.co/gc4bkqCwRI https://t.co/QmgDFTmDR4 https://t.co/faMEwelYNH","Futures ES_F SP500 futurestrading future Investment investing trading invest investor investors stock stocks StockMarket Trade market",3928,0,FALSE
"TickwatcherMF",2021-09-28 18:39:00,"#NASDAQ E-mini #Futures #NQ_F <U+0001F53B>353.25 Points (2.33%) to 14,818.25 #futurestrading #future #NASDAQ100 #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #Trade #market https://t.co/gc4bkqCwRI https://t.co/QmgDFTmDR4 https://t.co/B0ueYKa7fE","NASDAQ Futures NQ_F futurestrading future NASDAQ100 Investment investing trading invest investor investors stock stocks StockMarket Trade market",3928,0,FALSE
"TickwatcherMF",2021-09-28 16:34:32,"$PG company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/LyweA7f0N2","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 18:00:11,"$DVN company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/mbqQg4Gaxk","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 15:22:11,"$MDLZ company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf
https://t.co/DKHsacr5na https://t.co/lcPm7a9H0s","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 18:05:47,"$ET company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/XTdeRsYtsV","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 17:11:34,"$AAPL company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/CJLxlTX9TO","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 15:23:28,"$CAG company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf
https://t.co/DKHsacr5na https://t.co/qXyqonpK7m","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 16:45:08,"$STZ company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/nyu01vxjAr","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 15:15:58,"$HSY company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf
https://t.co/DKHsacr5na https://t.co/Hf8pj0GBnM","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 16:00:32,"$SLB company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/KJYhzUSufI https://t.co/9vljtSGo5f","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 17:00:33,"$COST company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/LZPtAgo4Pc","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-29 15:47:03,"$MSLOY company #profile and #Technical Analysis Score Update (TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/aV3NBcD35A https://t.co/d9VigYTqCG","profile Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 17:02:30,"$HSY company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/eZ8YEdJYZm","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 15:26:08,"$PEP company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf
https://t.co/DKHsacr5na https://t.co/LgEmgQvr8l","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-29 15:26:05,"$SNYNF company #profile and #Technical Analysis Score Update (TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/aV3NBcD35A https://t.co/UF6gE6SXwG","profile Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 17:30:57,"$UNFI company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/8nTHbCKq0z","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 15:22:38,"$AMEN company #profile and #Technical Analysis Score Update (TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/KJYhzUSufI https://t.co/Qr1eG5phwY","profile Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 15:00:53,"$ACMR company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/1hytRsf7sV https://t.co/5R7axblTYg","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 19:07:24,"#NASDAQ E-mini #Futures #NQ_F <U+0001F53B>116 Points (0.76%) to 15,202.75 #futurestrading #future #NASDAQ100 #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #Trade #market https://t.co/gc4bkqCwRI 
https://t.co/ui64Q9WleN https://t.co/od7KPz6K0O","NASDAQ Futures NQ_F futurestrading future NASDAQ100 Investment investing trading invest investor investors stock stocks StockMarket Trade market",3928,0,FALSE
"TickwatcherMF",2021-09-27 17:18:44,"$ITUB company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/OEKeQmZMzc","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 15:13:35,"$LEU company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf
https://t.co/1hytRsf7sV https://t.co/tXNm3SylKZ","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 16:35:27,"$ADM company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/wsbOqfriLz","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 17:15:56,"$NIO company #profile and #Technical Analysis Score Update (TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/y4wcYVphwx","profile Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-27 19:08:12,"S&amp;P 500 E-mini #Futures #ES_F <U+0001F53B>7.5 Points (0.17%) to 4,438.25 #SP500 $SPX $SPY #futurestrading #future #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #Trade #market https://t.co/gc4bkqCwRI
https://t.co/ui64Q9WleN https://t.co/OU4uq81QcG","Futures ES_F SP500 futurestrading future Investment investing trading invest investor investors stock stocks StockMarket Trade market",3928,0,FALSE
"TickwatcherMF",2021-09-27 17:13:56,"$BBD company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/moVGkTU8ye","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"TickwatcherMF",2021-09-28 18:03:20,"$AMC company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcVOEf https://t.co/cO2UDmMAuZ","profile Fundamental Technical stocks stock StockMarket Investment investing invest investor investors",3928,0,FALSE
"StockMKTNewz",2021-09-27 15:22:59,"Best and worst performing Dow Jones stocks so far today

Best:
1 $DOW
2 Chevron $CVX
3 Boeing $BA
4 Goldman $GS
5 Caterpillar $CAT
6 JPMorgan $JPM
7 Walgreens $WBA

Worst:
1 Microsoft $MSFT
2 Salesforce $CRM
3 Apple $AAPL
4 Nike $NKE
5 $PG
6 Johnson &amp; Johnson $JNJ
7 Visa $V",,114746,14918,FALSE
